product_name,size_raw,price_raw,color,rating_score,count_rate,sold_count,first_comment,short_description,product_url,image_url,price_list,product_type
Cần Câu Lure 4 Khúc Rapala Classic Countdown,cdc664l | cds664l,3800000,,5.0,5.0,45,Duy Khang Người đánh giá đã mua hàng,"Cần câu lure 4 khúc tiện dụng Rapala Classic Countdown một siêu phẩm thực sự trong phân khúc cần nhỏ gọn. Action tuyệt vời và nhỏ gọn là những ưu điểm vượt trội của sản phẩm này. Made in China
CDC664L: Cần máy ngang – Độ cứng: L (Light) – Action: Fast – Chiều dài: 1m98 – Tải mồi: 3,5-10,6gram – Tải dây: 3-8lb – Trọng lượng: 101g 
CDS664L: Cần máy đứng – Độ cứng: L (Light) – Action: Fast – Chiều dài: 1m98 – Tải mồi: 3,5-10,6gram – Tải dây: 3-8lb – Trọng lượng: 99g",https://vuadocau.com/rapala-classic-countdown/,https://vuadocau.com/wp-content/uploads/2025/08/can-cau-daiwa-lurenist.jpg,[3800000],moi_cau
Cần Câu UL Dark Horse Ns Blackhole,s-602ul-can-dung | c-632ul-can-ngang,1450000,,5.0,1.0,77,Dân Người đánh giá đã mua hàng,"Cần câu UL (Ultra Light) Dark Horse thương hiệu Ns Blackhole siêu phẩm câu lure cá tráp, cá thểu hoặc các loại cá suối.
Cần Máy Ngang
Dark Horse C-632UL – Dài 1.89m – Số khúc: 2 – Trọng lượng: 87g – Φ Ngọn: 1.2mm – Tải mồi: 1 – 7.g – Dây: 7lb
Cần Máy Đứng
Dark Horse S-602UL – Dài 1.8m – Số khúc: 2 – Trọng lượng: 83g – Φ Ngọn: 1.2mm – Tải mồi: 1 – 5g – Dây: 5lb",https://vuadocau.com/dark-horse-ns-blackhole/,https://vuadocau.com/wp-content/uploads/2025/08/can-cau-daiwa-lurenist.jpg,[1450000],khac
Mồi Mềm NFF Câu Lure Cá Lóc,js001 | js002 | js003 | js004,130000,js001 | js002 | js003 | js004,4.75,8.0,2584,Nghĩa Người đánh giá đã mua hàng,"Mồi mềm NFF là mồi mềm dấu lưỡi câu cá lóc cực nhạy thích hợp trên nhiều địa hình. Đây là một trong những con mồi được nhiều cần thủ sử dụng nhất hiện nay.
Thông số:
Chiều dài: 8.5cm
Trọng lượng: 5g
Quy cách: 1 vỉ 7 con
Giá: 130.000 đ
Thích hợp khi sử dụng với lưỡi Zapu hoặc lưỡi KG Hook",https://vuadocau.com/moi-mem-nff-cau-lure-ca-loc/,https://vuadocau.com/wp-content/uploads/2025/08/moi-tom-mem-ft07-04.jpg,[130000],moi_cau
Máy Câu Ngang Daiwa Tatula SV TW 103,tasv-103h-tay-phai | tasv-103hl-tay-trai | tasv-103hs-tay-phai | tasv-103hsl-tay-trai | tasv-103xs-tay-phai | tasv-103xsl-tay-trai,4200000,,0.0,,35,,Một trong những phiên bản được các cần thủ Việt Nam yêu thích nhất Daiwa Tatua SV TW 103. Đây cũng là phiên bản máy câu ngang tầm trung tốt nhất tính đến thời điểm này của hãng đồ câu Nhật Bản Daiwa.,https://vuadocau.com/daiwa-tatula-sv-tw-103/,https://vuadocau.com/wp-content/uploads/2021/07/Quang-My-Ly-7h-300x300.jpg,[4200000],may_cau_ngang
Ống Tay Chống Nắng Rapala,size-m | size-l,195000,Màu A1 | Màu A2,5.0,2.0,83,Linh Người đánh giá đã mua hàng,"Ống tay áo chống nắng Rapala bảo vệ tuyệt đối làn da của bạn khỏi các tia cực tím, chất vải cực mát giúp thoáng khí và thấm mồ hôi.
Size:
–  M Cho người từ 50 – 55kg
–  L Cho người từ 56 – 65kg
–  XL Cho người từ 66 – 75kg ( Size này anh em vui lòng đặt tiền trước để shop nhập hàng)",https://vuadocau.com/ong-tay-chong-nang-rapala/,https://vuadocau.com/wp-content/uploads/2025/11/ao-phantom-camo-guf.jpg,[195000],khac
Mồi Cá Sắt Giả Câu Cá Lóc C55,a1 | a2 | a3 | a4,40000,Màu A1 | Màu A2 | Màu A3 | Màu A4,0.0,,106,,"Mồi giả câu rê chìm các loại cá lóc, cá trê, cá nheo cực nhạy C55, màu sơn bền bỉ lưỡi tripble hook siêu cứng đang được rất nhiều cần thủ sử dụng.
Thông số:
–  Nặng 11gram
–  Dài 5,5cm
–  4 màu 
–  Lặn sâu: 1,5 – 2,5m",https://vuadocau.com/moi-ca-sat-gia-cau-ca-loc-c55/,https://vuadocau.com/wp-content/uploads/2021/07/Quang-My-Ly-7h-300x300.jpg,[40000],moi_cau
Túi 10 Chân Cắm Phao,s | m | l,15000,,0.0,,103,,"Túi 10 chân cắm phao tiện dụng dùng trong câu đơn, câu đài. 
Thông số:
– Size S: Dài 16mm
– Size M: Dài 18mm
– Size L: Dài 20mm",https://vuadocau.com/tui-10-chan-cam-phao/,https://vuadocau.com/wp-content/uploads/2025/11/ao-phantom-camo-guf.jpg,[15000],phao
Dây PE X4 Proberos,0-4 | 0-6 | 0-8,95000,,4.0,1.0,152,Bằng Người đánh giá đã mua hàng,"Dây PE X4 Proberos là một trong những sản phẩm dây PE bình dân có độ chiụ tải và mịn khá tốt được nhiều anh em cần thủ tin dùng.
Thích hợp sử dụng cho cần ul câu lure suối
Thông số: 
#0.4 – Đường kính 0,10 mm – Dài 100m – Chịu tải: 6lb (2.7kg)
#0.6 – Đường kính 0,12 mm – Dài 100m – Chịu tải: 8lb (3,6kg)
#0.8 – Đường kính 0,14 mm – Dài 100m – Chịu tải: 10lb (4,5kg)",https://vuadocau.com/day-pe-x4-proberos/,https://vuadocau.com/wp-content/uploads/2021/07/Quang-My-Ly-7h-300x300.jpg,[95000],day_cuoc
"Kìm Gỡ Cá, Gỡ Lưỡi Seaguar",nan,790000,,0.0,,0,,"Kìm Gỡ Cá, Gỡ Lưỡi Seaguar kìm vào khoen và cắt dây bằng thép không gỉ siêu bền.
– Cơ chế khóa một chạm thuận tiện cho việc cất giữ
–  Có bộ phận bảo vệ an toàn và chắc chắn
–  Dao cắt dây PE, dây Nylon, Fluorocarbon
–  Có dụng cụ mở vòng chia
Thông số:
Dài: 20cm
Rộng: 15cm
Cao: 13cm
Trọng lượng: 200g
Vật liệu: Thép không gỉ",https://vuadocau.com/kim-go-ca-go-luoi-seaguar/,https://vuadocau.com/wp-content/uploads/2023/08/4538722651_1844997361.jpg,[790000],luoi_cau
Popper WD001,a1 | a2 | a3 | a4,145000,a1 | a2 | a3 | a4,0.0,,60,,"Mồi giả Popper WD001 làm thủ công bằng gỗ chi tiết rất sắc nét, action hấp hẫn chuyên giành để câu Popping xa bờ săn GT, Nhồng, Thu và nhiều loài săn mồi khác.
Thông số: 
Chất liệu: Gỗ
Chiều dài: 175mm
Chiều rộng: 38mm
Trọng lượng: 62gr
Loại: Pop 
Lưỡi câu: Chưa có",https://vuadocau.com/popper-wd001/,https://vuadocau.com/wp-content/uploads/2023/12/popper-wd002-ac.jpg,[145000],khac
Máy Câu Ngang Shimano 2018 Antares DC,dc-left-tay-trai | dc-right-tay-phai | hg-left-tay-trai | hg-right-tray-phai,12500000,,5.0,9.0,82,Huỳnh Người đánh giá đã mua hàng,"Máy ngang câu lure Shimano Antares DC được mệnh danh ông vua nước ngọt bởi khả năng ném xa tuyệt vời từ sự kết hợp giữa hệ thống phanh “4×8 DC New” và “Magnum Lite Spool”.
Thông số:
Antares DC: Vòng bi: 11 – Vòng tua: 5.6:1 – Thu dây: 65cm – Lực Kéo : 5 kg – Sức chứa dây: 0,28mm = 120m – Trọng lượng: 220g
Antares DC HG: Vòng bi: 11 – Vòng tua: 7.4:1 – Thu dây: 86cm – Lực Kéo : 5 kg – Sức chứa dây: 0,28mm = 120m – Trọng lượng: 220g
Sản phẩm Shimano 2018 Antares DC đã dừng sản xuất, chúng tôi đã mở bán phiên bản Máy Câu Ngang Shimano 2021 Antares DC",https://vuadocau.com/shimano-antares-dc/,https://vuadocau.com/wp-content/uploads/2025/11/may-cau-bassx100-2024-5.jpg,[12500000],may_cau_ngang
Cần Lure Máy Đứng Daiwa Infeet,602ms-1m8 | 702ms-2m1,1650000 | 1990000,,5.0,1.0,141,Lâm Duy Nhất Người đánh giá đã mua hàng,"Cần câu lure máy ngang Daiwa Infeet của thương hiệu đồ câu Daiwa danh tiếng. Được trang bị nhiều công nghệ mới nhất của Daiwa, cần carbon HVF có độ nảy cực tốt kèm khoen Fuji FaZLite thích hợp câu lure cá lóc và nhiều loại cá khác. 
Thông số:
602MS: Chiều dài: 1m8 – Trọng lượng: 120gr – Tải mồi: 5-18gr – Tải dây: 7-16lb – Giá bán: 1.650.000đ
702MS: Chiều dài: 2m1 – Trọng lượng: 125gr – Tải mồi: 5-18gr – Tải dây: 7-16lb – Giá bán: 1.990.000đ",https://vuadocau.com/spining-daiwa-infeet-2020/,https://vuadocau.com/wp-content/uploads/2025/08/can-cau-daiwa-lurenist.jpg,"[1650000, 1990000]",moi_cau
Sét 2 Cá Sắt V25,nan,90000,,0.0,,80,,"Mồi cá sắt giả câu lure cá lóc, cá trê, nheo cực nhạy V25. Thiết kế đặc biệt giúp con mồi rung lắc cực mạnh, thích hợp câu cào đáy.
Thông Số:
Dài: 4.5cm
Nặng: 16gram",https://vuadocau.com/set-2-ca-sat-v25/,https://vuadocau.com/wp-content/uploads/2023/12/E9S-0000.jpg,[90000],khac
Bộ 5 Mồi Thìa Câu Cá Suối BuckShot Spoon,nan,100000,6 màu,0.0,,110,,"Bộ 5 mồi thìa câu cá suối BuckShot Spoon 1 lưỡi đơn, action cực đẹp thích hợp câu các loại cá suối từ 100gram đến 800 gram.
Shop sẽ gửi màu random cho khách hàng. Vì đây là con mồi có giá trị rất nhỏ nên shop chỉ bán cả bộ 5 con mong nhận được sự thông cảm và ủng hộ của quý khách hàng.
Thông số: 
–  Chiều dài: 39,3 mm
–  Chiều rộng: 9,5 mm
–  Trọng lượng: 3,5 gram
–  Lưỡi đơn
–  Màu sắc: 6 màu",https://vuadocau.com/bo-5-moi-thia-cau-ca-suoi-buckshot-spoon/,https://vuadocau.com/wp-content/uploads/2022/10/khoa-so-8-300x300.jpg,[100000],moi_cau
Máy Câu Ngang Daiwa Tatula SV TW103 JDM,103sh-tay-phai | 103shl-tay-trai,4500000,,5.0,1.0,43,Tuyên Người đánh giá đã mua hàng,"Máy câu lure Daiwa Tatula SV TW103 mạnh hơn, và nhẹ nhất trong các phiên bản Tatula mà Daiwa từng sản xuất. Thích hợp câu lure mọi địa hình, cả ở nước ngọt và nước mặn.
Phiên bản này là phiên bản giành cho thị trường Nhật. Các bạn có thể lựa chọn phiên bản cho thị trường Mỹ tại đây
Máy thích hợp sử dụng cho mọi môi trường nước mặn và nước ngọt. Thích hợp với dải cần có độ cứng từ L (Light) đến H (Heavy).",https://vuadocau.com/daiwa-tatula-sv-tw103-2020-jdm/,https://vuadocau.com/wp-content/uploads/2025/11/may-cau-bassx100-2024-5.jpg,[4500000],may_cau_ngang
Thùng Đựng Cá Đa Năng Nhiều Kích Cỡ Chống Thấm Nước,35cm | 40cm | 45cm | 50cm,120000 | 130000 | 140000 | 150000,do-den | mau-xam | xanh-duong | mau-cam,0.0,,466,,"Nếu bạn đang tìm một giải pháp để bảo quản cá tươi sống, đựng đồ nghề câu cá, hay thậm chí làm thùng nước sinh hoạt khi đi dã ngoại, thì thùng đựng cá đa năng chất liệu nhựa EVA chính là “bảo bối” không thể thiếu! Với thiết kế gấp gọn, chất liệu EVA cao cấp, và nhiều kích cỡ linh hoạt, sản phẩm này không chỉ tiện lợi mà còn mang đến phong cách “chất như nước cất” cho mọi chuyến câu cá. Hãy cùng khám phá chi tiết tại sao thùng EVA lại khiến hội cần thủ “phát cuồng” đến vậy!
Thông Số Kỹ Thuật
Chất liệu: Nhựa EVA cao cấp (Ethylene Vinyl Acetate), chống thấm, chống mài mòn, thân thiện môi trường.
Kích cỡ: Đa dạng từ 35cm, 40cm, 45cm, 50cm
Màu sắc: Xanh dương, đen, đỏ, vàng, cam – nổi bật và cá tính.
Trọng lượng: Siêu nhẹ, chỉ từ 1-2kg, dễ mang theo.
Tính năng nổi bật:
Gấp gọn tiện lợi, độ dày khi gấp chỉ 10-15cm.
Lưới thông hơi và lỗ sục oxy, giữ cá sống lâu.
Quai xách và quai đeo chắc chắn, linh hoạt.
Dễ vệ sinh, chống bám bẩn, độ bền cao",https://vuadocau.com/thung-dung-ca-da-nang-nhieu-kich-co/,https://vuadocau.com/wp-content/uploads/2025/11/ao-phantom-camo-guf.jpg,"[120000, 130000, 140000, 150000]",khac
Mồi Câu Cá Popper WD002,a1 | a2 | a3 | a4,155000,a4 | a3 | a2 | a1,0.0,,1531,,"Mồi giả Popper WD002 làm thủ công bằng gỗ chi tiết rất sắc nét, action hấp hẫn chuyên giành để câu Popping xa bờ săn GT, Nhồng, Thu và nhiều loài săn mồi khác.
Thông số: 
Chất liệu: Gỗ
Chiều dài: 150mm
Trọng lượng: 65gr
Loại: Pop 
Chưa có lưỡi",https://vuadocau.com/moi-cau-ca-popper-wd002/,https://vuadocau.com/wp-content/uploads/2023/12/popper-wd002-ac.jpg,[155000],moi_cau
Combo Mồi Câu Chép Gấu Vương,nan,95000,,0.0,,1444,,"Bộ đôi mồi câu gấu vương chuyên chép bao gồm mồi bột gấu vương và hương liệu gấu vương dạng nước, có mùi vị thơm thu hút cá tốt hơn. Với công thức dễ dàng, pha mồi cực kì đơn giản, dễ dùng phù hợp cho khách hàng câu tự nhiên, dịch vụ hay thi đấu.",https://vuadocau.com/combo-moi-cau-chep-gau-vuong/,https://vuadocau.com/wp-content/uploads/2025/11/chep-thi-dau.jpg,[95000],moi_cau
Dây Fluorocarbon Seaguar Kureha,3-0 | 3-5 | 4-0 | 5-0,190000,,0.0,,96,,"Dây Fluorocarbon Seaguar Kureha dây fluorocarbon siêu bền, mềm hơn thích hợp sử dụng làm leader câu lure, dây trục và dây thẻo câu đài.
Thông số:
#3.0 | ø: 0.285mm | Chịu tải: 12lb (5.4kg)
#3.5 | ø: 0.310mm | Chịu tải: 14lb (6.3kg)
#4.0 | ø: 0.330mm | Chịu tải: 14lb (7.2kg)
#5.0 | ø: 0.370mm | Chịu tải: 20lb (9.0kg)
Kích thước: 100m
Made in Japan",https://vuadocau.com/day-fluorocarbon-seaguar-kureha/,https://vuadocau.com/wp-content/uploads/2025/06/Grappler-1.jpg,[190000],day_cuoc
Mồi Tôm Mềm FT08,a | b | c,55000,a | b | c,0.0,,227,,"Mồi tôm mềm FT08 chuyên câu cá lóc nhát mồi, action cực hấp dẫn siêu nhạy cá.
Thông số:
Trạng thái tự nhiển: nổi
Trọng lượng: 3g
Chiều dài: 8cm
Quy cách đóng gói: 10 con/gói",https://vuadocau.com/moi-tom-mem-ft08/,https://vuadocau.com/wp-content/uploads/2025/08/moi-tom-mem-ft07-04.jpg,[55000],moi_cau
Dây PE Daiwa Black Sensor 8X Màu Đen,1-0 | 1-5 | 2-0 | 2-5 | 3-0,450000,,0.0,,154,,"Dây PE Daiwa Black Sensor PE 8X Màu Đen có kích thước nhỏ, chất liệu tơ mịn, mượt và chịu tải tốt. Thiết kế màu đen để tăng khả năng “tàng hình” trước kẻ săn mồi ranh mãnh. Dòng pe Daiwa Black Sensor hiện được các cần thủ ưa chuộng vì sự bền bỉ  và tải cao.
Kích cỡ: 1.5 – 2.0 – 2.5 – 3.0
Chất liệu: PE
Kích thước : 150 m
Hãng Sản xuất : Daiwa
#1.0-đường kính 0.18mm – chịu tải   9.26kg – chiều dài cuộn 150m – giá bán: 450.000đ
#1.5-đường kính 0.20mm – chịu tải  13.03kg – chiều dài cuộn 150m – giá bán: 450.000đ
#2.0-đường kính 0.23mm – chịu tải  16.04kg – chiều dài cuộn 150m – giá bán: 450.000đ
#2.5-đường kính 0.26mm – chịu tải  23.2kg – chiều dài cuộn 150m – giá bán: 450.000đ",https://vuadocau.com/day-pe-daiwa-black-sensor-8x-mau-den/,https://vuadocau.com/wp-content/uploads/2025/06/Grappler-1.jpg,[450000],day_cuoc
Mũ Che Nắng Guide,nan,200000,,0.0,,35,,"Mũ che nắng Guide thiết kế mũ lưỡi trai đen, kết hợp với lưới sau gáy tạo thoáng mát khi mang. Phần chụp mũ được thiết kế 2 lớp, chúng được ghép lại với nhau bằng 6 miếng ghép thông qua các đường chỉ chắc chắn, chi tiết và cẩn thận. Do đó, form mũ giữ được sự ổn định và không dễ dàng bị biến dạng. Khi đội sẽ ôm khít đầu rất đẹp mắt.",https://vuadocau.com/mu-che-nang-guide/,https://vuadocau.com/wp-content/uploads/2025/10/twin-4000hg-2025.jpg,[200000],khac
Mồi Câu Lure Nhái Hơi F55,nan,100000,,0.0,,38,,"Mẫu nhái hơi câu lure F55 giành cho cần thủ khó tính nhất, action cực hấp dẫn chất lượng cao su siêu bền và đặc biệt là khả năng đóng cá cực tốt, sẵn sàng chinh phục kể cả cá nhát mồi.
Thông số:
Kích Thước: 55mm
Trọng lượng: 10gr
Made in Vietnam",https://vuadocau.com/nhai-hoi-f55-tntlure/,https://vuadocau.com/wp-content/uploads/2025/11/chep-thi-dau.jpg,[100000],moi_cau
